seed	vmh
cpd01527	xyllac_D
cpd01553	2hxmp
cpd01557	3btcoa
cpd01563	acon_T
cpd01567	alltn_R
cpd01570	23camp
cpd01571	23ccmp
cpd01572	23cump
cpd01587	5mtc
cpd01599	glutaccoa
cpd01610	C02442
cpd01618	13ppd
cpd01620	dscl
cpd01630	ccmuac
cpd01644	2hmc
cpd01646	3c3hmp
cpd01647	pad
cpd01651	HC00955
cpd01662	butpi
cpd01663	C02528
cpd01665	pser_D
cpd01669	estrones
cpd01693	suc6p
cpd01695	tdcoa
cpd01701	citmal
cpd01710	2ippm
cpd01711	isobut
cpd01716	3dhsk
cpd01720	cala
cpd01727	pime
cpd01735	glac
cpd01741	ddca
cpd01747	ind3acam
cpd01749	Lfmkynr
cpd01759	acasp
cpd01766	nmptrc
cpd01772	sucbz
cpd01775	prbatp
cpd01777	prbamp
cpd01793	25dkglcn
cpd01831	im4ac
cpd01844	ppap
cpd01845	protochloroph
cpd01850	srbL1p
cpd01861	12ppd_R
cpd01871	3mcat
cpd01882	ivcoa
cpd01912	fuc1p_L
cpd01914	metsox_S_L
cpd01919	malt6p
cpd01923	acmama
cpd01932	12npthldl
cpd01942	lnlncgcoa
cpd01947	btd_RR
cpd01949	btd_SS
cpd01957	2hydogcoa
cpd01960	2ohed
cpd01966	3mb2coa
cpd01973	4gudbd
cpd01974	e4hglu
cpd01977	4pasp
cpd01981	5mtr
cpd01982	pram
cpd01997	dmbzid
cpd02016	rnam
cpd02021	sbzcoa
cpd02024	ppaca
cpd02027	mmet
cpd02030	skm5p
cpd02039	appl
cpd02045	1h2npt
cpd02047	11docrtstrn
cpd02060	dd2coa
cpd02065	hLkynr
cpd02068	3mgcoa
cpd02069	3php
cpd02074	6a2ohxnt
cpd02077	dlnlcg
cpd02083	cpppg3
cpd02089	oxptn
cpd02090	g3pg
cpd02096	3aib_L
cpd02097	glu5p
cpd02098	xylhl_L
cpd02100	xu5p_L
cpd02103	sucarg
cpd02113	dtdprmn
cpd02120	23dhdp
cpd02124	2maacoa
cpd02125	2mb2coa
cpd02135	HC01104
cpd02140	air
cpd02147	4per
cpd02152	argsuc
cpd02160	sucorn
cpd02168	pphtd
cpd02172	atnodp
cpd02175	4hpro_D
cpd02182	lgt_S
cpd02183	oxalc
cpd02186	oxglyc
cpd02187	2mp2coa
cpd02197	5fthf
cpd02201	4ppan
cpd02210	3ig3p
cpd02211	2aobut
cpd02216	mppp9
cpd02227	rhcys
cpd02229	udcpdp
cpd02230	mi4p_D
cpd02233	2aeppn
cpd02234	3hbcoa_R
cpd02235	1p2cbxl
cpd02246	com
cpd02255	5odhf2a
cpd02258	4h2opntn
cpd02263	dlnlcgcoa
cpd02279	dmlarg
cpd02284	spc_hs
cpd02295	dhna
cpd02305	34hpl
cpd02311	4izp
cpd02315	6pthp
cpd02333	quln
cpd02338	udpgalfur
cpd02345	glu1sa
cpd02357	dopa
cpd02361	4hoxpacd
cpd02371	tagdp_D
cpd02375	dcamp
cpd02386	2d3dxylt
cpd02394	gar
cpd02414	l2a6o
cpd02431	1pyr5c
cpd02438	mcom
cpd02439	2dh3dglc
cpd02465	thdp
cpd02483	hacon_C
cpd02484	mi3p_D
cpd02494	23dhba
cpd02498	23dhmb
cpd02500	34dhpac
cpd02501	dhpppn
cpd02507	5c2o3ed
cpd02513	mi34p
cpd02522	L2aadp6sa
cpd02524	HC01231
cpd02535	23dhmp
cpd02536	mucl
cpd02546	ckdo
cpd02547	applp
cpd02552	acg5p
cpd02555	thglu
cpd02557	octdp
cpd02566	23ddhb
cpd02569	33hmeoxobut
cpd02571	56dihindlcrbxlt
cpd02572	5cm2hmu
cpd02574	5mdr1p
cpd02590	hepdp
cpd02591	pendp
cpd02597	2mcacn
cpd02605	3c4mop
cpd02611	acgam1p
cpd02612	acmanap
cpd02616	dtdp4addg
cpd02625	1p3h5c
cpd02626	1p4h2cbxl
cpd02631	dkdi
cpd02636	4mhetz
cpd02637	C04295
cpd02642	pran
cpd02654	4mpetz
cpd02655	mtth4mpt
cpd02656	dmlz
cpd02662	malylcoa
cpd02666	4ppcys
cpd02678	fgam
cpd02679	mtethnpn
cpd02685	n6all26d
cpd02691	3hmbcoa
cpd02692	cmusa
cpd02693	3c2hmp
cpd02698	sl26da
cpd02700	2mpdhl
cpd02701	amob
cpd02711	2ddg6p
cpd02720	5aprbu
cpd02721	d5kgp
cpd02724	sl2a6o
cpd02729	mi1346p
cpd02730	kdo8p
cpd02731	hkndd
cpd02733	dchac
cpd02737	mh4mpt
cpd02738	5mthglu
cpd02740	gdptp
cpd02760	6pgg
cpd02762	mppp9mme
cpd02767	3hbbut
cpd02774	dheas
